Scientific.Name,Longitude,Latitude,Country
Lutjanus gibbus,-149.85594,-17.48075,PF
Lutjanus gibbus,167.27782,-20.91792,NC
Lutjanus gibbus,166.64917,-20.47494,NC
Lutjanus gibbus,-149.87272,-17.48816,PF
Lutjanus gibbus,164.23187,-20.68428,NC
Lutjanus gibbus,-140.09525,-8.93721,PF
Lutjanus gibbus,165.13315,-20.58231,NC
Lutjanus gibbus,-140.01847,-8.92652,PF
Lutjanus gibbus,-149.76273,-17.53691,PF
Lutjanus gibbus,-149.93594,-17.49958,PF
Lutjanus gibbus,166.44206,-22.4981,NC
Lutjanus gibbus,-151.72716,-16.54176,PF
Lutjanus gibbus,-149.8659,-17.48272,PF
Lutjanus gibbus,-140.18903,-8.9633,PF
Lutjanus gibbus,164.23999,-20.66601,NC
Lutjanus gibbus,45.27657,-12.87013,YT
Lutjanus gibbus,167.13472,-20.78137,NC
Lutjanus gibbus,167.02897,-20.74855,NC
Lutjanus gibbus,-139.09973,-9.89385,PF
Lutjanus gibbus,165.50785,-21.74608,NC
Lutjanus gibbus,-139.04059,-9.81609,PF
Lutjanus gibbus,167.39963,-22.51559,NC
Lutjanus gibbus,167.29073,-20.86927,NC
Lutjanus gibbus,166.45614,-20.44613,NC
Lutjanus gibbus,-145.37633,-16.4276,PF
Lutjanus gibbus,145.86221,-16.2423,AU
Lutjanus gibbus,127.598733,-7.586445,ID
Lutjanus gibbus,-151.785975,-16.50311,PF
Lutjanus gibbus,72.919502,5.359961,MV
Lutjanus gibbus,178.524284,-17.347072,FJ
Lutjanus gibbus,134.221809,7.13704,PW
Lutjanus gibbus,72.924837,3.524066,MV
Lutjanus gibbus,178.422139,-17.346685,FJ
Lutjanus gibbus,130.599279,-0.602636,ID
Lutjanus gibbus,130.517176,-0.566001,ID
Lutjanus gibbus,72.923258,3.528034,MV
Lutjanus gibbus,32.679021,-27.536919,ZA
Lutjanus gibbus,73.036449,3.212385,MV
Lutjanus gibbus,145.823604,-15.981572,AU
Lutjanus gibbus,129.917778,28.296111,JP
Lutjanus gibbus,130.001667,28.367778,JP
Lutjanus gibbus,128.634167,27.416944,JP
Lutjanus gibbus,128.666111,27.384722,JP
Lutjanus gibbus,131.051667,30.610833,JP
Lutjanus gibbus,130.0025,28.338056,JP
Lutjanus gibbus,129.849167,29.838333,JP
Lutjanus gibbus,128.523889,27.360833,JP
Lutjanus gibbus,124.146111,24.340278,JP
Lutjanus gibbus,129.531389,29.6775,JP
Lutjanus gibbus,128.570278,27.329444,JP
Lutjanus gibbus,130.860556,30.467222,JP
Lutjanus gibbus,124.004444,24.320833,JP
